timestamp_sec,dominant_emotion
1.749,angry
1.834,angry
1.904,happy
1.974,happy
2.051,happy
2.129,happy
2.204,happy
2.346,sad
2.418,sad
2.565,angry
2.703,sad
2.842,sad
2.984,sad
3.052,sad
3.128,sad
3.269,sad
3.406,sad
3.548,sad
3.695,sad
3.830,sad
3.959,sad
4.092,sad
4.243,sad
4.382,sad
4.519,sad
4.654,sad
4.794,neutral
4.932,sad
5.074,sad
5.206,sad
5.352,neutral
5.489,sad
5.632,sad
5.772,fear
5.909,sad
6.048,neutral
6.184,neutral
6.321,sad
6.460,sad
6.592,fear
6.728,sad
6.801,neutral
6.869,fear
6.927,fear
6.996,fear
7.057,sad
7.197,neutral
7.332,neutral
7.399,neutral
7.473,neutral
7.605,neutral
7.740,sad
7.819,sad
7.893,sad
8.034,neutral
8.174,sad
8.311,sad
8.386,neutral
8.466,neutral
8.549,neutral
8.637,neutral
8.716,neutral
8.862,sad
8.950,neutral
9.083,neutral
9.213,neutral
9.344,neutral
9.421,neutral
9.492,neutral
9.572,neutral
9.653,neutral
9.743,neutral
9.890,neutral
10.029,neutral
10.174,neutral
10.242,happy
10.321,happy
10.393,angry
10.473,happy
10.546,happy
10.688,angry
10.767,sad
10.847,sad
10.921,angry
11.000,sad
11.078,happy
11.143,happy
11.217,happy
11.292,happy
11.433,sad
11.574,sad
11.714,sad
11.787,happy
11.929,sad
12.065,sad
12.140,happy
12.219,happy
12.292,happy
12.372,happy
12.448,happy
12.526,happy
12.603,happy
12.678,happy
12.753,happy
12.829,happy
12.906,happy
12.986,happy
13.062,happy
13.140,happy
13.215,happy
13.295,happy
13.371,happy
13.448,happy
13.526,happy
13.606,happy
13.671,happy
13.740,happy
13.816,happy
13.894,happy
13.968,happy
14.049,happy
14.123,happy
14.202,happy
14.280,happy
14.356,happy
14.433,happy
14.505,happy
14.585,happy
14.662,happy
14.737,happy
14.876,sad
14.956,happy
15.030,happy
15.106,happy
15.180,happy
15.255,happy
15.335,happy
15.414,happy
15.489,happy
15.566,happy
15.651,happy
15.715,happy
15.795,happy
15.870,happy
15.944,happy
16.025,happy
16.101,happy
16.178,happy
16.252,happy
16.330,happy
16.408,happy
16.485,happy
16.562,happy
16.639,happy
16.715,happy
16.793,happy
16.870,happy
16.945,happy
17.021,happy
17.099,happy
17.177,happy
17.254,happy
17.331,happy
17.408,happy
17.483,happy
17.560,happy
17.637,happy
17.715,happy
17.795,happy
17.870,happy
17.948,happy
18.022,happy
18.095,happy
18.178,happy
18.253,happy
18.328,happy
18.409,happy
18.489,happy
18.563,happy
18.642,happy
18.714,happy
18.782,happy
18.856,happy
18.932,happy
19.009,happy
19.083,happy
19.172,happy
19.255,happy
19.334,happy
19.412,happy
19.489,happy
19.567,happy
19.649,happy
19.722,happy
19.798,happy
19.876,happy
19.955,happy
20.032,happy
20.105,happy
20.187,happy
20.264,happy
20.339,happy
20.418,happy
20.491,happy
20.570,happy
20.645,happy
20.720,happy
20.802,happy
20.874,happy
20.951,happy
21.027,happy
21.107,happy
21.181,fear
21.261,fear
21.337,fear
21.416,happy
21.497,happy
21.582,happy
21.669,fear
21.736,fear
21.865,sad
21.944,fear
22.023,fear
22.097,happy
22.164,happy
22.237,happy
22.314,happy
22.391,fear
22.455,fear
22.530,fear
22.610,angry
22.743,angry
22.824,fear
22.898,fear
22.976,angry
23.050,angry
23.130,fear
23.205,fear
23.281,sad
23.361,fear
23.435,fear
23.511,fear
23.593,fear
23.668,fear
